date,adj_close,vol
2016-01-04 00:00:00-05:00,39.1,12037200
2016-01-05 00:00:00-05:00,38.72,10514200
2016-01-06 00:00:00-05:00,39.4,12393800
2016-01-07 00:00:00-05:00,38.66,11312900
2016-01-08 00:00:00-05:00,38.58,8853100
2016-01-11 00:00:00-05:00,39.26,15877500
2016-01-12 00:00:00-05:00,40.14,12636000
2016-01-13 00:00:00-05:00,38.32,12718600
2016-01-14 00:00:00-05:00,38.75,11756500
2016-01-15 00:00:00-05:00,37.04,18924800
2016-01-19 00:00:00-05:00,37.14,10505900
2016-01-20 00:00:00-05:00,37.33,16089100
2016-01-21 00:00:00-05:00,38.03,9781700
2016-01-22 00:00:00-05:00,38.38,7247000
2016-01-25 00:00:00-05:00,37.16,10113200
2016-01-26 00:00:00-05:00,37.88,8099000
2016-01-27 00:00:00-05:00,37.93,10186000
2016-01-28 00:00:00-05:00,36.45,17112300
2016-01-29 00:00:00-05:00,37.26,20957500
2016-02-01 00:00:00-05:00,37.63,12023500
2016-02-02 00:00:00-05:00,35.39,12401400
2016-02-03 00:00:00-05:00,35.85,12390500
2016-02-04 00:00:00-05:00,36.52,8599600
2016-02-05 00:00:00-05:00,35.12,10072700
2016-02-08 00:00:00-05:00,34.07,12821900
2016-02-09 00:00:00-05:00,34.68,11143300
2016-02-10 00:00:00-05:00,35.57,8114100
2016-02-11 00:00:00-05:00,34.97,8096000
2016-02-12 00:00:00-05:00,36.24,9412800
2016-02-16 00:00:00-05:00,37.0,7147500
2016-02-17 00:00:00-05:00,37.7,8432500
2016-02-18 00:00:00-05:00,37.89,9605800
2016-02-19 00:00:00-05:00,38.1,11052400
2016-02-22 00:00:00-05:00,39.14,9997300
2016-02-23 00:00:00-05:00,38.69,6432200
2016-02-24 00:00:00-05:00,38.96,6103700
2016-02-25 00:00:00-05:00,39.63,6936400
2016-02-26 00:00:00-05:00,39.16,7467200
2016-02-29 00:00:00-05:00,39.29,5791300
2016-03-01 00:00:00-05:00,40.08,7885800
2016-03-02 00:00:00-05:00,39.85,7913700
2016-03-03 00:00:00-05:00,40.13,8812800
2016-03-04 00:00:00-05:00,39.89,9474100
2016-03-07 00:00:00-05:00,40.37,6959700
2016-03-08 00:00:00-05:00,39.07,8418300
2016-03-09 00:00:00-05:00,39.91,8546300
2016-03-10 00:00:00-05:00,39.89,5814200
2016-03-11 00:00:00-05:00,40.7,5701500
2016-03-14 00:00:00-04:00,40.81,4568000
2016-03-15 00:00:00-04:00,40.35,4445400
2016-03-16 00:00:00-04:00,40.54,4792900
2016-03-17 00:00:00-04:00,40.34,5960600
2016-03-18 00:00:00-04:00,41.63,13746000
2016-03-21 00:00:00-04:00,41.66,4756400
